起点节点id,起点节点名称,终点节点code,终点节点名称,关系类型,开始时间,结束时间
AGRI000001,农林牧渔行业,AGRI,农林牧渔,BELONGS_TO_INDUSTRY,2026-08-03,
AGRI000002,种业与生物技术,AGRI,农林牧渔,BELONGS_TO_INDUSTRY,2026-08-03,
AGRI000003,农化与肥料,AGRI,农林牧渔,BELONGS_TO_INDUSTRY,2026-08-03,
AGRI000004,饲料工业,AGRI,农林牧渔,BELONGS_TO_INDUSTRY,2026-08-03,
AGRI000005,动物保健与兽药,AGRI,农林牧渔,BELONGS_TO_INDUSTRY,2026-08-03,
AGRI000006,农林牧渔生产,AGRI,农林牧渔,BELONGS_TO_INDUSTRY,2026-08-03,
AGRI000007,农产品加工与仓储,AGRI,农林牧渔,BELONGS_TO_INDUSTRY,2026-08-03,
AGRI000008,农产品流通与消费渠道,AGRI,农林牧渔,BELONGS_TO_INDUSTRY,2026-08-03,
AGRI002001,大田作物种子,AGRI,农林牧渔,BELONGS_TO_INDUSTRY,2026-08-03,
AGRI002002,经济作物种子,AGRI,农林牧渔,BELONGS_TO_INDUSTRY,2026-08-03,
AGRI002003,蔬菜瓜果种子种苗,AGRI,农林牧渔,BELONGS_TO_INDUSTRY,2026-08-03,
AGRI002004,生物育种技术,AGRI,农林牧渔,BELONGS_TO_INDUSTRY,2026-08-03,
AGRI002008,杂交玉米种子,AGRI,农林牧渔,BELONGS_TO_INDUSTRY,2026-08-03,
AGRI002009,杂交水稻种子,AGRI,农林牧渔,BELONGS_TO_INDUSTRY,2026-08-03,
AGRI002010,小麦种子,AGRI,农林牧渔,BELONGS_TO_INDUSTRY,2026-08-03,
AGRI003001,氮肥,AGRI,农林牧渔,BELONGS_TO_INDUSTRY,2026-08-03,
AGRI003002,磷肥及磷化工,AGRI,农林牧渔,BELONGS_TO_INDUSTRY,2026-08-03,
AGRI003003,钾肥,AGRI,农林牧渔,BELONGS_TO_INDUSTRY,2026-08-03,
AGRI003004,复合肥与掺混肥,AGRI,农林牧渔,BELONGS_TO_INDUSTRY,2026-08-03,
AGRI003005,除草剂,AGRI,农林牧渔,BELONGS_TO_INDUSTRY,2026-08-03,
AGRI003006,杀虫剂,AGRI,农林牧渔,BELONGS_TO_INDUSTRY,2026-08-03,
AGRI003007,杀菌剂,AGRI,农林牧渔,BELONGS_TO_INDUSTRY,2026-08-03,
AGRI003008,生物农药,AGRI,农林牧渔,BELONGS_TO_INDUSTRY,2026-08-03,
AGRI003009,植物生长调节剂,AGRI,农林牧渔,BELONGS_TO_INDUSTRY,2026-08-03,
AGRI003010,农资流通与农技服务,AGRI,农林牧渔,BELONGS_TO_INDUSTRY,2026-08-03,
AGRI003011,磷酸一铵,AGRI,农林牧渔,BELONGS_TO_INDUSTRY,2026-08-03,
AGRI003012,磷酸二铵,AGRI,农林牧渔,BELONGS_TO_INDUSTRY,2026-08-03,
AGRI003016,精细磷化工,AGRI,农林牧渔,BELONGS_TO_INDUSTRY,2026-08-03,
AGRI003019,灭生性除草剂,AGRI,农林牧渔,BELONGS_TO_INDUSTRY,2026-08-03,
AGRI003020,选择性除草剂,AGRI,农林牧渔,BELONGS_TO_INDUSTRY,2026-08-03,
AGRI004001,配合饲料,AGRI,农林牧渔,BELONGS_TO_INDUSTRY,2026-08-03,
AGRI004003,饲料添加剂,AGRI,农林牧渔,BELONGS_TO_INDUSTRY,2026-08-03,
AGRI004004,宠物食品,AGRI,农林牧渔,BELONGS_TO_INDUSTRY,2026-08-03,
