节点code,节点类型,节点名称,证券代码,生效时间,失效时间
10281586,公司,江苏特味浓食品股份有限公司,,2026-07-30,
10294641,公司,宁波玉健健康科技股份有限公司,,2026-07-30,
10339126,公司,珍酒李渡集团有限公司,,2026-07-30,
10351196,公司,山东艾德森生物科技股份有限公司,,2026-07-30,
1066520,公司,深圳市裕同包装科技股份有限公司,,2026-07-30,
1069136,公司,桃李面包股份有限公司,,2026-07-30,
1069255,公司,安徽迎驾贡酒股份有限公司,,2026-07-30,
1069571,公司,祖名豆制品集团股份有限公司,,2026-07-30,
1069688,公司,北京随视传媒科技股份有限公司,,2026-07-30,
1070417,公司,惠州东进农牧股份有限公司,,2026-07-30,
1071322,公司,宏图智能数字科技股份有限公司,,2026-07-30,
1072383,公司,透云生物科技集团有限公司,,2026-07-30,
1072412,公司,望湘园(上海)餐饮管理股份有限公司,,2026-07-30,
1073175,公司,上海爱婴室商务服务股份有限公司,,2026-07-30,
1081517,公司,四川菊乐食品股份有限公司,,2026-07-30,
1083230,公司,浙江华统肉制品股份有限公司,,2026-07-30,
1083343,公司,安记食品股份有限公司,,2026-07-30,
1086056,公司,四川天味食品集团股份有限公司,,2026-07-30,
1086109,公司,安徽口子酒业股份有限公司,,2026-07-30,
1113184,公司,江西天新药业股份有限公司,,2026-07-30,
1114776,公司,兰州庄园牧场股份有限公司,,2026-07-30,
1114957,公司,浙江一鸣食品股份有限公司,,2026-07-30,
1115014,公司,湖北均瑶大健康饮品股份有限公司,,2026-07-30,
1115020,公司,浙江李子园食品股份有限公司,,2026-07-30,
1121989,公司,浙江大胜达包装股份有限公司,,2026-07-30,
1122457,公司,广东新宏泽包装股份有限公司,,2026-07-30,
11237065,公司,大连海宝食品股份有限公司,,2026-07-30,
1124240,公司,上海宝钢包装股份有限公司,,2026-07-30,
1124649,公司,老恒和酿造有限公司,,2026-07-30,
1124826,公司,抚顺独凤轩骨神生物技术股份有限公司,,2026-07-30,
1126332,公司,贵州永吉印务股份有限公司,,2026-07-30,
1128075,公司,江苏苏北粮油股份有限公司,,2026-07-30,
1128945,公司,农夫山泉股份有限公司,,2026-07-30,
1129425,公司,浙江江山恒亮蜂产品股份有限公司,,2026-07-30,
1146212,公司,青岛蔚蓝生物股份有限公司,,2026-07-30,
1146481,公司,仲景食品股份有限公司,,2026-07-30,
1148393,公司,上海海顺新型药用包装材料股份有限公司,,2026-07-30,
1148852,公司,老娘舅餐饮股份有限公司,,2026-07-30,
1149066,公司,家家悦集团股份有限公司,,2026-07-30,
1151380,公司,龙利得智能科技股份有限公司,,2026-07-30,
1153559,公司,广东百味佳味业科技股份有限公司,,2026-07-30,
1154217,公司,威龙葡萄酒股份有限公司,,2026-07-30,
1164905,公司,金菜地食品股份有限公司,,2026-07-30,
1164942,公司,湖北裕国菇业股份有限公司,,2026-07-30,
1165087,公司,大连林家铺子食品股份有限公司,,2026-07-30,
1165147,公司,早康枸杞股份有限公司,,2026-07-30,
1165282,公司,道道全粮油股份有限公司,,2026-07-30,
1184363,公司,翠华控股有限公司,,2026-07-30,
1231812,公司,香港科技探索有限公司,,2026-07-30,
